cik,display_name,first_file_date,last_file_date,total_hits,forms_touched,in_phrase_query,in_token_query,in_deferred_csv,signal_class
0000861878,STERICYCLE INC  (SRCL)  (CIK 0000861878),2024-06-03,2024-07-10,3,8-K;DEFA14A;DEFM14A,true,false,false,body-only
0000863064,"RIO TINTO PLC  (RIO, RTPPF)  (CIK 0000863064); RIO TINTO LTD  (RTNTF)  (CIK 0000887028)",2011-01-10,2011-01-10,1,6-K,true,false,false,body-only
0000863903,ARTIO SELECT OPPORTUNITIES FUND INC.  (CIK 0000863903),2013-03-08,2013-03-26,2,DEF 14A;PRE 14A,true,false,false,body-only
0000866374,FLEX LTD.  (FLEX)  (CIK 0000866374),2023-02-01,2025-10-31,9,10-K;10-Q;8-K;DEFM14A,true,false,false,body-only
0000876883,Stagwell Inc  (STGW)  (CIK 0000876883),2020-12-22,2026-05-01,32,10-K;10-Q;8-K;8-K/A,true,false,false,both
0000880432,MISONIX INC  (CIK 0000880432),2021-09-24,2021-09-24,1,DEFM14A,true,false,false,body-only
0000883902,"Cornerstone Building Brands, Inc.  (CIK 0000883902)",2018-10-17,2024-05-21,21,10-K;10-Q;8-K;8-K/A;DEFM14A,true,false,false,both
0000885975,"Cinemark Holdings, Inc.  (CNK)  (CIK 0001385280); CINEMARK USA INC /TX  (CIK 0000885975)",2010-03-12,2025-11-05,47,10-K;10-Q,true,false,false,body-only
0000886171,UNIVERSAL HOSPITAL SERVICES INC  (CIK 0000886171),2018-08-13,2018-10-15,2,8-K,true,false,false,body-only
0000887028,"RIO TINTO PLC  (RIO, RTPPF)  (CIK 0000863064); RIO TINTO LTD  (RTNTF)  (CIK 0000887028)",2011-01-10,2011-01-10,1,6-K,true,false,false,body-only
0000887210,ARTIO GLOBAL INVESTMENT FUNDS  (CIK 0000887210),2013-03-08,2013-03-26,2,DEF 14A;PRE 14A,true,false,false,body-only
